site_code,site,transect,substrate,n_points,total_points,prop,pct
TB,Tanote Bay,TB5,MAC,47,1245,0.03775100401606426,3.775100401606426
TB,Tanote Bay,TB5,OB,49,1245,0.0393574297188755,3.93574297188755
TB,Tanote Bay,TB5,TUR,148,1245,0.11887550200803212,11.887550200803213
TB,Tanote Bay,TB6,AB,508,1228,0.41368078175895767,41.36807817589577
TB,Tanote Bay,TB6,HC,436,1228,0.3550488599348534,35.50488599348534
TB,Tanote Bay,TB6,MAC,31,1228,0.025244299674267102,2.5244299674267103
TB,Tanote Bay,TB6,OB,82,1228,0.06677524429967427,6.677524429967427
TB,Tanote Bay,TB6,SC,3,1228,0.0024429967426710096,0.24429967426710095
TB,Tanote Bay,TB6,TUR,166,1228,0.13517915309446255,13.517915309446254
TB,Tanote Bay,TB6,UKN,2,1228,0.0016286644951140066,0.16286644951140067
TB,Tanote Bay,TB7,AB,410,1246,0.3290529695024077,32.90529695024077
TB,Tanote Bay,TB7,HC,602,1246,0.48314606741573035,48.31460674157304
TB,Tanote Bay,TB7,MAC,2,1246,0.0016051364365971107,0.16051364365971107
TB,Tanote Bay,TB7,OB,127,1246,0.10192616372391654,10.192616372391655
TB,Tanote Bay,TB7,SC,2,1246,0.0016051364365971107,0.16051364365971107
TB,Tanote Bay,TB7,SP,1,1246,8.025682182985554e-4,0.08025682182985554
TB,Tanote Bay,TB7,TUR,87,1246,0.06982343499197431,6.982343499197431
TB,Tanote Bay,TB7,UKN,15,1246,0.012038523274478331,1.2038523274478332
TW,Twins,TW1,AB,156,1249,0.12489991993594876,12.489991993594876
TW,Twins,TW1,HC,640,1249,0.5124099279423538,51.24099279423538
TW,Twins,TW1,MAC,15,1249,0.01200960768614892,1.200960768614892
TW,Twins,TW1,OB,72,1249,0.057646116893514815,5.764611689351481
TW,Twins,TW1,TUR,342,1249,0.27381905524419536,27.381905524419537
TW,Twins,TW1,UKN,24,1249,0.01921537229783827,1.921537229783827
TW,Twins,TW2,AB,260,1247,0.20850040096230954,20.850040096230956
TW,Twins,TW2,HC,398,1247,0.3191659983961508,31.916599839615078
TW,Twins,TW2,MAC,25,1247,0.020048115477145148,2.0048115477145148
TW,Twins,TW2,OB,46,1247,0.03688853247794707,3.6888532477947074
TW,Twins,TW2,TUR,506,1247,0.4057738572574178,40.577385725741784
TW,Twins,TW2,UKN,12,1247,0.009623095429029671,0.9623095429029671
TW,Twins,TW3,AB,175,1250,0.14,14.000000000000002
TW,Twins,TW3,HC,457,1250,0.3656,36.559999999999995
TW,Twins,TW3,MAC,12,1250,0.0096,0.96
TW,Twins,TW3,OB,46,1250,0.0368,3.6799999999999997
TW,Twins,TW3,TUR,555,1250,0.444,44.4
TW,Twins,TW3,UKN,5,1250,0.004,0.4
TW,Twins,TW4,AB,173,1250,0.1384,13.84
TW,Twins,TW4,HC,331,1250,0.2648,26.479999999999997
TW,Twins,TW4,MAC,16,1250,0.0128,1.28
TW,Twins,TW4,OB,30,1250,0.024,2.4
TW,Twins,TW4,TUR,700,1250,0.56,56.00000000000001
TW,Twins,TW5,AB,417,1248,0.33413461538461536,33.41346153846153
TW,Twins,TW5,HC,529,1248,0.4238782051282051,42.38782051282051
TW,Twins,TW5,MAC,8,1248,0.00641025641025641,0.641025641025641
TW,Twins,TW5,OB,65,1248,0.052083333333333336,5.208333333333334
TW,Twins,TW5,SC,6,1248,0.004807692307692308,0.4807692307692308
TW,Twins,TW5,SP,11,1248,0.008814102564102564,0.8814102564102564
TW,Twins,TW5,TUR,211,1248,0.16907051282051283,16.907051282051285
TW,Twins,TW5,UKN,1,1248,8.012820512820513e-4,0.08012820512820512
